yyyymm,EQPREM,DP,DY,EP,SVAR,BM,NTIS,TBL,LTR,TMS,DFY,DFR,INFL
192711,0.01701341377086751,-3.122543243905227,-3.056965521704212,-2.738217959637492,0.0009296591,0.3793955905,0.0822671859,0.0304,0.0097,0.0016000000000000007,0.008599999999999997,-0.0029000000000000007,-0.0057471264
192712,-0.009405498259695886,-3.1326669593102214,-3.113803867861922,-2.766942179851571,0.0006042041,0.3746885899,0.0764711093,0.0317,0.0072,-9.999999999999593e-05,0.008599999999999997,-0.0004000000000000002,0.0
192801,-0.015125283889737343,-3.1188940057555414,-3.1240032987323496,-2.7413239201531368,0.0008605259,0.3786696208,0.0626014543,0.0331,-0.0036,-0.0010000000000000009,0.008899999999999998,0.0063,0.0
192802,0.09723107954234159,-3.092631200264226,-3.1104324168079502,-2.704291341681525,0.0006911239,0.3860765992,0.0551726339,0.0333,0.0061,-0.0015000000000000013,0.0087,0.0006999999999999992,-0.0115606936
192803,0.031239887817587908,-3.1869801169732312,-3.0841140191763516,-2.7882889551740218,0.0013810077,0.363254838,0.0543639372,0.0327,0.0045,-0.0010000000000000009,0.008599999999999997,-0.0003999999999999993,0.0
192804,0.010052082010428256,-3.2104305739429475,-3.178534866047978,-2.8008319345531763,0.0014879603,0.3680952606,0.0493720638,0.0362,-0.0004,-0.004300000000000005,0.0087,0.0018,0.0
192805,-0.038128008936635205,-3.2147593093563613,-3.202180527149501,-2.7952434128045875,0.0018988588,0.3543969792,0.0471873758,0.039,-0.0077,-0.0063,0.009299999999999996,-9.99999999999994e-05,0.0058479532
192806,0.006970960820905724,-3.1651103413352613,-3.2064533048696435,-2.7352537801029375,0.0036454766,0.3702999477,0.0502987889,0.0392,0.0041,-0.006600000000000002,0.009800000000000003,-0.006500000000000001,-0.0058139535
192807,0.0646786877491793,-3.1693017120072557,-3.156872758637516,-2.7293774073743147,0.0016749799,0.3606481481,0.0593803298,0.0412,-0.0217,-0.0068000000000000005,0.0097,0.0207,0.0
192808,0.018966716522770766,-3.232747345766866,-3.1612528880671054,-2.7836705027155286,0.0012293169,0.3240297825,0.0573989063,0.0436,0.0076,-0.009500000000000001,0.0097,0.0007000000000000001,0.0
192809,0.011047753894511849,-3.24831764752255,-3.2246422992806028,-2.790435378809159,0.0006504642,0.3281658101,0.0279800569,0.0457,-0.0041,-0.011099999999999999,0.009799999999999996,0.0071,0.0116959064
192810,0.11188979580650175,-3.2546798722520296,-3.24027776501164,-2.7874588847192325,0.0006788455,0.3089308376,0.0340193716,0.047,0.0158,-0.013400000000000002,0.0097,-0.0075000000000000015,-0.0057803468
192811,0.0024198631531863277,-3.3600854785928385,-3.2468226889729865,-2.8843765853385657,0.0015232957,0.2655259391,0.0383720096,0.0426,0.0003,-0.008800000000000002,0.0097,-0.0039,0.0
192812,0.05338918761338984,-3.355050779026374,-3.3521718956890725,-2.8704483503594855,0.00407747,0.2596666667,0.0630687383,0.0426,0.0004,-0.008599999999999997,0.009899999999999999,0.008,-0.0058139535
192901,-0.008280149743033312,-3.398869091902564,-3.3433547392631824,-2.912288506484636,0.0017008226,0.2453466033,0.0784486564,0.0466,-0.009,-0.011700000000000002,0.010100000000000005,0.0133,0.0
192902,-0.00343954736691295,-3.381463717505205,-3.3873082695014882,-2.892954222061762,0.0026701165,0.2454238997,0.0717831373,0.0439,-0.0157,-0.007600000000000003,0.009999999999999995,0.018699999999999998,0.0
192903,0.01597594779550634,-3.367687602763277,-3.3700350216815824,-2.8766009719545376,0.0036114071,0.2723004695,0.0798045664,0.046,-0.0144,-0.008300000000000002,0.0109,0.0057,-0.0058479532
192904,-0.04575079610147587,-3.3723199951442493,-3.356388047509344,-2.87940665167523,0.0023043615,0.2633969119,0.0993226329,0.048,0.0275,-0.012200000000000003,0.011100000000000006,-0.0256,-0.0058823529
192905,0.10203420107182885,-3.3174131151779016,-3.3611466945461244,-2.822716873341794,0.0047598084,0.2827746209,0.1179866681,0.0509,-0.0162,-0.013600000000000001,0.011000000000000003,0.0207,0.0059171598
192906,0.04361697072657709,-3.4128508274523877,-3.3063632789913164,-2.9164139411384964,0.0013403801,0.2535805819,0.1161973604,0.048,0.011,-0.011299999999999998,0.011700000000000002,-0.0156,0.0058823529
192907,0.08734198115992256,-3.4465309229636767,-3.401921756920197,-2.9483941590093683,0.0012818127,0.2418751798,0.1106879396,0.0455,0.0,-0.008599999999999997,0.011799999999999998,0.002,0.0116959064
192908,-0.05627633286825859,-3.5292027813850915,-3.435720006859461,-3.029405488660579,0.003382102,0.2211237609,0.115277315,0.047,-0.0034,-0.009500000000000001,0.012500000000000004,0.0054,0.0
192909,-0.2094730943988857,-3.468391946857843,-3.5185074922683435,-2.966972121378728,0.0033922824,0.2448682487,0.1213901177,0.0458,0.0027,-0.008300000000000002,0.013199999999999996,0.0006999999999999997,0.0
192910,-0.13853121486282804,-3.2355776744861324,-3.457809837527306,-2.7319356860915667,0.0535075427,0.307484187,0.159611836,0.0437,0.0382,-0.009000000000000001,0.013400000000000002,-0.030899999999999997,0.0
192911,0.023681693951783538,-3.0815276337169775,-3.2251063746188366,-2.5763428898410723,0.0364487459,0.3519564763,0.1770397921,0.0347,0.0236,-0.0016000000000000042,0.012699999999999996,-0.0254,0.0
192912,0.05422850619764698,-3.0961838528587347,-3.0711648466814307,-2.5894904663776543,0.0102146296,0.3384578236,0.1635221721,0.0303,-0.0089,0.003700000000000002,0.012799999999999999,0.0281,-0.0057803468
193001,0.024308686050095552,-3.1559566483872836,-3.0953594505037167,-2.6835609504057314,0.0014331608,0.3148162012,0.1533141989,0.0339,-0.0057,0.0008000000000000021,0.0126,0.0116,-0.0058139535
193002,0.0668551278545832,-3.176302786999981,-3.1550300073943367,-2.7401315120924,0.0017247059,0.3102061894,0.1592556286,0.0336,0.0129,0.00030000000000000165,0.012000000000000004,-0.0057,-0.0058479532
193003,-0.017529935286098603,-3.2523454066516373,-3.175479826352773,-2.852896646729618,0.0015040436,0.3191191891,0.1454961766,0.0295,0.0083,0.0040000000000000036,0.011099999999999999,0.0055,-0.0058823529
193004,-0.013308402746845952,-3.241930723020351,-3.2515231227117907,-2.880540723195837,0.0019338617,0.3269705977,0.1296808921,0.03,-0.0016,0.003799999999999998,0.011000000000000003,0.01,0.0059171598
193005,-0.171861789508619,-3.224403528573771,-3.2410064610803566,-2.903358953422976,0.0046934394,0.3319155124,0.1249268071,0.0241,0.0139,0.008799999999999999,0.011200000000000002,-0.008199999999999999,-0.0058823529
193006,0.0352860852701218,-3.0437895685077705,-3.2235826789483664,-2.7638295421498995,0.0144478616,0.4033754529,0.1310010449,0.0189,0.0051,0.013900000000000003,0.0121,0.005899999999999999,-0.0059171598
193007,0.009205008605196961,-3.0789704001769915,-3.0429693921238807,-2.84178367516624,0.0049204458,0.3901876149,0.1405508333,0.0183,0.0034,0.0144,0.012500000000000004,0.0022,-0.0119047619
193008,-0.1327740755906697,-3.085563805859762,-3.0780485051052966,-2.8939344843348067,0.0040499265,0.3797521005,0.121494954,0.0153,0.0013,0.0175,0.0126,0.012299999999999998,-0.0060240964
193009,-0.08958721388007705,-2.9453807888559687,-3.0847450564536727,-2.8004061690091038,0.0037384063,0.4455832113,0.1272003762,0.0177,0.0074,0.014699999999999998,0.012299999999999998,0.0034000000000000002,0.0060606061
193010,-0.020832951083619523,-2.8516165967426623,-2.9445627092521067,-2.755498291049657,0.0128766664,0.4979547314,0.129491358,0.0174,0.0035,0.015,0.015199999999999998,0.0019000000000000002,-0.0060240964
193011,-0.07546143705236577,-2.828613198662547,-2.850697056447984,-2.7848543444689824,0.0071600721,0.5046708308,0.1377528675,0.014,0.0042,0.0182,0.017800000000000003,-0.005399999999999999,-0.0060606061
193012,0.05642356120654021,-2.7506665032566295,-2.827796538755991,-2.7609230034238186,0.0081663293,0.5547454126,0.1138858911,0.0148,-0.007,0.0182,0.02190000000000001,-0.001999999999999999,-0.0182926829
193101,0.10371032808709073,-2.812065030515869,-2.7643308654506873,-2.8400733647223793,0.0052243116,0.5391520019,0.0897221289,0.0124,-0.0121,0.021899999999999996,0.0199,0.0324,-0.0124223602
193102,-0.07183040292758003,-2.934300917099646,-2.8260235904868964,-2.980785967088283,0.0028846263,0.4796679626,0.082543575,0.0106,0.0085,0.0232,0.019499999999999997,-0.001700000000000001,-0.0125786164
193103,-0.09886237171690129,-2.8766851413918313,-2.948350691335129,-2.9426431091836287,0.0041687518,0.529125087,0.0739801542,0.0138,0.0104,0.0194,0.020499999999999997,-0.0009999999999999992,-0.0063694268
193104,-0.14892156972969686,-2.790157663169249,-2.8909351280632354,-2.8765512022775326,0.0067092657,0.6032144983,0.0777810128,0.0149,0.0086,0.0178,0.0232,-0.0018999999999999998,-0.0064102564
